模型,原始准确率,同义词替换,句式重组,关键词删除,混合攻击,最大下降
逻辑回归,0.9799843014128728,0.9772370486656201,0.9760596546310832,0.9795918367346939,0.9799843014128728,0.003924646781789609
支持向量机,0.9811616954474097,0.9795918367346939,0.9795918367346939,0.9807692307692307,0.9811616954474097,0.0015698587127158659
随机森林,0.9631083202511774,0.9607535321821036,0.945839874411303,0.9619309262166404,0.9619309262166404,0.017268445839874413
